################################################################################
2018-10-04 20:29:17,322 - ERROR - NEMbox.api:534: can't get song url, id: 239170
2018-10-04 20:29:19,693 - DEBUG - NEMbox.player:285: 475073280,The fear in my heart,http://music.163.com/song/media/outer/url?id=475073280.mp3
2018-10-04 20:29:24,901 - DEBUG - NEMbox.player:285: 239170,秋天别来,http://music.163.com/song/media/outer/url?id=239170.mp3
2018-10-04 20:29:26,640 - DEBUG - NEMbox.player:310: Callback
2018-10-04 20:29:26,641 - DEBUG - NEMbox.menu:769: FM CallBack.
2018-10-04 20:29:26,808 - ERROR - NEMbox.api:534: can't get song url, id: 416388015
2018-10-04 20:29:26,808 - ERROR - NEMbox.api:534: can't get song url, id: 101178
2018-10-04 20:29:26,808 - ERROR - NEMbox.api:534: can't get song url, id: 125835
2018-10-04 20:29:26,827 - DEBUG - NEMbox.player:285: 416388015,孤龙山-主场景,http://music.163.com/song/media/outer/url?id=416388015.mp3
2018-10-04 20:29:29,299 - DEBUG - NEMbox.player:285: 101178,雨碎江南,http://music.163.com/song/media/outer/url?id=101178.mp3
2018-10-04 20:29:33,758 - DEBUG - NEMbox.player:285: 125835,寂寞才说爱,http://music.163.com/song/media/outer/url?id=125835.mp3
2018-10-04 20:29:37,193 - DEBUG - NEMbox.player:310: Callback
2018-10-04 20:29:37,194 - DEBUG - NEMbox.menu:769: FM CallBack.
2018-10-04 20:29:37,378 - ERROR - NEMbox.api:534: can't get song url, id: 210884
2018-10-04 20:29:37,379 - ERROR - NEMbox.api:534: can't get song url, id: 334013
2018-10-04 20:29:37,379 - ERROR - NEMbox.api:534: can't get song url, id: 203890
2018-10-04 20:29:37,398 - DEBUG - NEMbox.player:285: 210884,张三的歌,http://music.163.com/song/media/outer/url?id=210884.mp3
2018-10-04 20:29:38,339 - DEBUG - NEMbox.player:285: 334013,为了谁,http://music.163.com/song/media/outer/url?id=334013.mp3
2018-10-04 20:29:42,367 - ERROR - NEMbox.api:534: can't get song url, id: 340856
2018-10-04 20:29:42,367 - ERROR - NEMbox.api:534: can't get song url, id: 196841
